funkcja,wymiar,czas,numer_testu
dot,134,3.99e-7,46
matrix_vector_mult,134,0.0004414,96
dot,134,5.01e-7,46
matrix_vector_mult,134,0.000687699,96
dot,134,4.01e-7,46
matrix_vector_mult,134,0.0002752,96
dot,134,4.0e-7,46
matrix_vector_mult,134,0.0001429,96
dot,134,3.0e-7,46
matrix_vector_mult,134,9.9301e-5,96
dot,134,2.99e-7,46
matrix_vector_mult,134,0.0001128,96
dot,134,3.0e-7,46
matrix_vector_mult,134,0.0001758,96
dot,68,3.99e-7,47
matrix_vector_mult,68,1.199e-6,97
dot,68,1.0e-7,47
matrix_vector_mult,68,7.99e-7,97
dot,68,1.0e-7,47
matrix_vector_mult,68,6.0e-7,97
dot,68,9.9e-8,47
matrix_vector_mult,68,6.01e-7,97
dot,68,1.01e-7,47
matrix_vector_mult,68,7.0e-7,97
dot,68,0.0,47
matrix_vector_mult,68,7.0e-7,97
dot,68,1.0e-7,47
matrix_vector_mult,68,7.0e-7,97
dot,68,0.0,47
matrix_vector_mult,68,7.0e-7,97
dot,68,0.0,47
matrix_vector_mult,68,8.01e-7,97
dot,68,1.01e-7,47
matrix_vector_mult,68,6.0e-7,97
dot,81,1.01e-7,48
matrix_vector_mult,81,1.2e-6,98
dot,81,1.0e-7,48
matrix_vector_mult,81,1.1e-6,98
dot,81,0.0,48
matrix_vector_mult,81,1.0e-6,98
dot,81,1.0e-7,48
matrix_vector_mult,81,1.3e-6,98
dot,81,1.01e-7,48
matrix_vector_mult,81,1.1e-6,98
dot,81,0.0,48
matrix_vector_mult,81,1.0e-6,98
dot,81,0.0,48
matrix_vector_mult,81,1.0e-6,98
dot,81,9.9e-8,48
matrix_vector_mult,81,1.5e-6,98
dot,81,1.0e-7,48
matrix_vector_mult,81,1.1e-6,98
dot,81,0.0,48
matrix_vector_mult,81,1.199e-6,98
dot,508,2.0e-7,49
matrix_vector_mult,508,0.0002485,99
dot,508,5.01e-7,49
matrix_vector_mult,508,0.0002343,99
dot,508,4.99e-7,49
matrix_vector_mult,508,0.0002419,99
dot,508,4.0e-7,49
matrix_vector_mult,508,0.0003008,99
dot,508,6.01e-7,49
matrix_vector_mult,508,0.0003249,99
dot,508,4.99e-7,49
matrix_vector_mult,508,0.000333399,99
dot,508,8.0e-7,49
matrix_vector_mult,508,0.0002621,99
dot,508,5.01e-7,49
matrix_vector_mult,508,0.0003454,99
dot,508,3.0e-7,49
matrix_vector_mult,508,0.0002624,99
dot,508,5.0e-7,49
matrix_vector_mult,508,0.0003183,99
dot,494,6.0e-7,50
matrix_vector_mult,494,0.000332699,100
dot,494,5.0e-7,50
matrix_vector_mult,494,0.00033,100
dot,494,4.0e-7,50
matrix_vector_mult,494,0.0003321,100
dot,494,4.0e-7,50
matrix_vector_mult,494,0.000314601,100
dot,494,5.01e-7,50
matrix_vector_mult,494,0.0003053,100
dot,494,1.099e-6,50
matrix_vector_mult,494,0.000303999,100
dot,494,6.0e-7,50
matrix_vector_mult,494,0.0002351,100
dot,494,5.99e-7,50
matrix_vector_mult,494,0.000339299,100
dot,494,1.2e-6,50
matrix_vector_mult,494,0.000355801,100
dot,494,3.99e-7,50
matrix_vector_mult,494,0.0002325,100
