n,k,naive,better,blas
150,6,0.010000,0.010000,0.010000
150,7,0.010000,0.010000,0.000000
150,8,0.020000,0.000000,0.010000
150,9,0.010000,0.010000,0.000000
160,0,0.020000,0.010000,0.000000
160,1,0.020000,0.020000,0.000000
160,2,0.010000,0.020000,0.000000
160,3,0.010000,0.020000,0.000000
160,4,0.020000,0.010000,0.000000
160,5,0.020000,0.010000,0.000000
160,6,0.020000,0.010000,0.010000
160,7,0.010000,0.010000,0.010000
160,8,0.010000,0.020000,0.000000
160,9,0.010000,0.020000,0.000000
170,0,0.020000,0.010000,0.010000
170,1,0.010000,0.020000,0.000000
170,2,0.020000,0.020000,0.000000
170,3,0.020000,0.020000,0.000000
170,4,0.020000,0.010000,0.010000
170,5,0.010000,0.020000,0.000000
170,6,0.010000,0.020000,0.000000
170,7,0.020000,0.020000,0.000000
170,8,0.020000,0.010000,0.010000
170,9,0.010000,0.020000,0.000000
180,0,0.020000,0.020000,0.010000
180,1,0.020000,0.020000,0.000000
180,2,0.020000,0.020000,0.000000
180,3,0.020000,0.020000,0.000000
180,4,0.020000,0.020000,0.010000
180,5,0.020000,0.020000,0.000000
180,6,0.020000,0.020000,0.000000
180,7,0.020000,0.020000,0.000000
180,8,0.020000,0.020000,0.000000
180,9,0.020000,0.020000,0.000000
190,0,0.030000,0.020000,0.010000
190,1,0.030000,0.020000,0.010000
190,2,0.030000,0.020000,0.010000
190,3,0.030000,0.020000,0.010000
190,4,0.030000,0.020000,0.010000
190,5,0.030000,0.020000,0.000000
190,6,0.030000,0.020000,0.010000
190,7,0.030000,0.020000,0.010000
190,8,0.030000,0.020000,0.000000
190,9,0.030000,0.020000,0.000000
200,0,0.030000,0.030000,0.000000
200,1,0.030000,0.030000,0.000000
200,2,0.020000,0.040000,0.000000
200,3,0.030000,0.030000,0.000000
200,4,0.040000,0.020000,0.010000
200,5,0.030000,0.030000,0.000000
200,6,0.030000,0.030000,0.000000
200,7,0.020000,0.030000,0.010000
200,8,0.030000,0.030000,0.000000
200,9,0.030000,0.030000,0.000000
210,0,0.040000,0.030000,0.010000
210,1,0.030000,0.030000,0.010000
210,2,0.040000,0.030000,0.000000
210,3,0.030000,0.040000,0.000000
210,4,0.040000,0.030000,0.000000
210,5,0.030000,0.030000,0.010000
210,6,0.030000,0.040000,0.000000
210,7,0.040000,0.030000,0.010000
210,8,0.030000,0.030000,0.010000
210,9,0.030000,0.040000,0.000000
220,0,0.050000,0.030000,0.010000
220,1,0.050000,0.030000,0.010000
220,2,0.040000,0.040000,0.000000
220,3,0.040000,0.040000,0.000000
220,4,0.050000,0.030000,0.010000
220,5,0.040000,0.040000,0.010000
220,6,0.040000,0.040000,0.000000
220,7,0.040000,0.040000,0.000000
220,8,0.050000,0.030000,0.010000
220,9,0.050000,0.030000,0.010000
230,0,0.050000,0.040000,0.010000
230,1,0.040000,0.050000,0.010000
230,2,0.040000,0.050000,0.000000
230,3,0.040000,0.040000,0.010000
230,4,0.050000,0.040000,0.010000
230,5,0.050000,0.040000,0.010000
230,6,0.050000,0.040000,0.000000
230,7,0.050000,0.040000,0.000000
230,8,0.050000,0.050000,0.000000
230,9,0.050000,0.050000,0.000000
240,0,0.060000,0.050000,0.010000
240,1,0.050000,0.050000,0.010000
240,2,0.050000,0.050000,0.010000
240,3,0.060000,0.040000,0.010000
240,4,0.060000,0.050000,0.000000
240,5,0.050000,0.050000,0.010000
240,6,0.060000,0.040000,0.010000
240,7,0.060000,0.050000,0.000000
240,8,0.050000,0.050000,0.010000
240,9,0.060000,0.040000,0.010000
